"brand_name","drug_product_description","spending_year","wac_year","wac_increase_amount","wac_after_increase","unit_sales_volume_us","total_spending_5_years","total_dosage_units_5_years","total_spending_per_year","total_dosage_units_per_year"
"1st Tier Unifine Pentips",NULL,2018,NULL,NULL,NULL,NULL,"597639.07","2720823","167193.78","761658"
"1st Tier Unifine Pentips",NULL,2019,NULL,NULL,NULL,NULL,"597639.07","2720823","139201.68","642471"
"1st Tier Unifine Pentips",NULL,2020,NULL,NULL,NULL,NULL,"597639.07","2720823","118923.24","547006"
"1st Tier Unifine Pentips",NULL,2021,NULL,NULL,NULL,NULL,"597639.07","2720823","102280.76","459384"
"1st Tier Unifine Pentips",NULL,2022,NULL,NULL,NULL,NULL,"597639.07","2720823","70039.61","310304"
"1st Tier Unifine Pentips Plus",NULL,2018,NULL,NULL,NULL,NULL,"1169180.29","5744198","369402.85","1813908"
"1st Tier Unifine Pentips Plus",NULL,2019,NULL,NULL,NULL,NULL,"1169180.29","5744198","343031.42","1830596"
"1st Tier Unifine Pentips Plus",NULL,2020,NULL,NULL,NULL,NULL,"1169180.29","5744198","210217.15","1046616"
"1st Tier Unifine Pentips Plus",NULL,2021,NULL,NULL,NULL,NULL,"1169180.29","5744198","131927.33","566872"
"1st Tier Unifine Pentips Plus",NULL,2022,NULL,NULL,NULL,NULL,"1169180.29","5744198","114601.54","486206"
"Abacavir",NULL,2018,NULL,NULL,NULL,NULL,"43953615.72","13849743","10653423.32","3034767"
"Abacavir",NULL,2019,NULL,NULL,NULL,NULL,"43953615.72","13849743","10119967.63","3318767"
"Abacavir",NULL,2020,NULL,NULL,NULL,NULL,"43953615.72","13849743","9198597.07","2960286"
"Abacavir",NULL,2021,NULL,NULL,NULL,NULL,"43953615.72","13849743","7036063.99","2500817"
"Abacavir",NULL,2022,NULL,NULL,NULL,NULL,"43953615.72","13849743","6945563.71","2035106"
"Abacavir-Lamivudine",NULL,2018,NULL,NULL,NULL,NULL,"64964422.24","5968469","15957795.55","1429260"
"Abacavir-Lamivudine",NULL,2019,NULL,NULL,NULL,NULL,"64964422.24","5968469","16480869.86","1448269"
"Abacavir-Lamivudine",NULL,2020,NULL,NULL,NULL,NULL,"64964422.24","5968469","11265372.88","996520"
"Abacavir-Lamivudine",NULL,2021,NULL,NULL,NULL,NULL,"64964422.24","5968469","9294117.32","1104102"
"Abacavir-Lamivudine",NULL,2022,NULL,NULL,NULL,NULL,"64964422.24","5968469","11966266.63","990318"
"Abacavir-Lamivudine-Zidovudine",NULL,2018,NULL,NULL,NULL,NULL,"14105892.55","662240","6955321.12","330735"
"Abacavir-Lamivudine-Zidovudine",NULL,2019,NULL,NULL,NULL,NULL,"14105892.55","662240","4849598.99","225020"
"Abacavir-Lamivudine-Zidovudine",NULL,2020,NULL,NULL,NULL,NULL,"14105892.55","662240","2085404.63","96333"
"Abacavir-Lamivudine-Zidovudine",NULL,2021,NULL,NULL,NULL,NULL,"14105892.55","662240","146795.20","7002"
"Abacavir-Lamivudine-Zidovudine",NULL,2022,NULL,NULL,NULL,NULL,"14105892.55","662240","68772.61","3150"
"Abelcet",NULL,2018,NULL,NULL,NULL,NULL,"2824052.13","497487","766166.41","101857"
"Abelcet",NULL,2019,NULL,NULL,NULL,NULL,"2824052.13","497487","618247.30","120570"
"Abelcet",NULL,2020,NULL,NULL,NULL,NULL,"2824052.13","497487","637913.66","124320"
"Abelcet",NULL,2021,NULL,NULL,NULL,NULL,"2824052.13","497487","504545.33","97200"
"Abelcet",NULL,2022,NULL,NULL,NULL,NULL,"2824052.13","497487","297179.43","53540"
"Abilify",NULL,2018,NULL,NULL,NULL,NULL,"116034257.20","3684998","31071646.36","950552"
"Abilify",NULL,2019,NULL,NULL,NULL,NULL,"116034257.20","3684998","26854630.75","808282"
"Abilify",NULL,2020,NULL,NULL,NULL,NULL,"116034257.20","3684998","24481910.61","716448"
"Abilify",NULL,2021,NULL,NULL,NULL,NULL,"116034257.20","3684998","20484851.18","633899"
"Abilify",NULL,2022,NULL,NULL,NULL,NULL,"116034257.20","3684998","13141218.30","575817"
"Abilify Maintena",NULL,2018,NULL,NULL,NULL,NULL,"2291357162.10","991261","345893454.10","165452"
"Abilify Maintena",NULL,2019,NULL,NULL,NULL,NULL,"2291357162.10","991261","422038582.30","189937"
"Abilify Maintena",NULL,2020,NULL,NULL,NULL,NULL,"2291357162.10","991261","460313112.00","204265"
"Abilify Maintena",NULL,2021,NULL,NULL,NULL,NULL,"2291357162.10","991261","499429110.90","210840"
"Abilify Maintena",NULL,2022,NULL,NULL,NULL,NULL,"2291357162.10","991261","563682902.80","220767"
"Abilify Mycite",NULL,2020,NULL,NULL,NULL,NULL,"92372.21","1620","92372.21","1620"
"Abiraterone Acetate",NULL,2018,NULL,NULL,NULL,NULL,"2342182121.47","74639200","26623436.37","435123"
"Abiraterone Acetate",NULL,2019,NULL,NULL,NULL,NULL,"2342182121.47","74639200","512604238.10","11518439"
"Abiraterone Acetate",NULL,2020,NULL,NULL,NULL,NULL,"2342182121.47","74639200","499949838.00","17267972"
"Abiraterone Acetate",NULL,2021,NULL,NULL,NULL,NULL,"2342182121.47","74639200","601154529.00","21241242"
"Abiraterone Acetate",NULL,2022,NULL,NULL,NULL,NULL,"2342182121.47","74639200","701850080.00","24176424"
"Abraxane",NULL,2018,NULL,NULL,NULL,NULL,"40036314.37","27204","5675297.99","4441"
"Abraxane",NULL,2019,NULL,NULL,NULL,NULL,"40036314.37","27204","8803136.55","6318"
"Abraxane",NULL,2020,NULL,NULL,NULL,NULL,"40036314.37","27204","9792937.31","6620"
"Abraxane",NULL,2021,NULL,NULL,NULL,NULL,"40036314.37","27204","9534884.71","6081"
"Abraxane",NULL,2022,NULL,NULL,NULL,NULL,"40036314.37","27204","6230057.81","3744"
"Absorica",NULL,2018,NULL,NULL,NULL,NULL,"1065889.91","28330","317230.79","8970"
"Absorica",NULL,2019,NULL,NULL,NULL,NULL,"1065889.91","28330","256597.51","6840"
"Absorica",NULL,2020,NULL,NULL,NULL,NULL,"1065889.91","28330","235353.71","6180"
"Absorica",NULL,2021,NULL,NULL,NULL,NULL,"1065889.91","28330","163699.34","4090"
"Absorica",NULL,2022,NULL,NULL,NULL,NULL,"1065889.91","28330","93008.56","2250"
"Absorica Ld",NULL,2021,NULL,NULL,NULL,NULL,"81264.22","2130","81264.22","2130"
"Acamprosate Calcium",NULL,2018,NULL,NULL,NULL,NULL,"32363706.36","33178941","5272879.18","5536265"
"Acamprosate Calcium",NULL,2019,NULL,NULL,NULL,NULL,"32363706.36","33178941","6133862.01","6113938"
"Acamprosate Calcium",NULL,2020,NULL,NULL,NULL,NULL,"32363706.36","33178941","6475928.88","6671390"
"Acamprosate Calcium",NULL,2021,NULL,NULL,NULL,NULL,"32363706.36","33178941","7045996.74","7253219"
"Acamprosate Calcium",NULL,2022,NULL,NULL,NULL,NULL,"32363706.36","33178941","7435039.55","7604129"
"Acanya",NULL,2018,NULL,NULL,NULL,NULL,"241389.38","22750","146741.77","13850"
"Acanya",NULL,2019,NULL,NULL,NULL,NULL,"241389.38","22750","60935.72","5750"
"Acanya",NULL,2020,NULL,NULL,NULL,NULL,"241389.38","22750","33711.89","3150"
"Acarbose",NULL,2018,NULL,NULL,NULL,NULL,"48113728.57","133669536","7782118.77","22122226"
"Acarbose",NULL,2019,NULL,NULL,NULL,NULL,"48113728.57","133669536","8782064.06","25533931"
"Acarbose",NULL,2020,NULL,NULL,NULL,NULL,"48113728.57","133669536","10722866.70","28611240"
"Acarbose",NULL,2021,NULL,NULL,NULL,NULL,"48113728.57","133669536","10728639.22","28967752"
"Acarbose",NULL,2022,NULL,NULL,NULL,NULL,"48113728.57","133669536","10098039.82","28434387"
"Accolate",NULL,2018,NULL,NULL,NULL,NULL,"1211198.51","323028","335122.21","89645"
"Accolate",NULL,2019,NULL,NULL,NULL,NULL,"1211198.51","323028","267173.42","70926"
"Accolate",NULL,2020,NULL,NULL,NULL,NULL,"1211198.51","323028","241732.21","64927"
"Accolate",NULL,2021,NULL,NULL,NULL,NULL,"1211198.51","323028","217404.57","57295"
"Accolate",NULL,2022,NULL,NULL,NULL,NULL,"1211198.51","323028","149766.10","40235"
"Accupril",NULL,2018,NULL,NULL,NULL,NULL,"9902736.82","2139827","2823256.85","609380"
"Accupril",NULL,2019,NULL,NULL,NULL,NULL,"9902736.82","2139827","2657878.87","575596"
"Accupril",NULL,2020,NULL,NULL,NULL,NULL,"9902736.82","2139827","2298518.54","500787"
"Accupril",NULL,2021,NULL,NULL,NULL,NULL,"9902736.82","2139827","1802400.49","386511"
"Accupril",NULL,2022,NULL,NULL,NULL,NULL,"9902736.82","2139827","320682.07","67553"
"Accuretic",NULL,2018,NULL,NULL,NULL,NULL,"1100000.74","252042","354071.71","80439"
"Accuretic",NULL,2019,NULL,NULL,NULL,NULL,"1100000.74","252042","311595.63","70847"
"Accuretic",NULL,2020,NULL,NULL,NULL,NULL,"1100000.74","252042","256406.10","59908"
"Accuretic",NULL,2021,NULL,NULL,NULL,NULL,"1100000.74","252042","162706.28","37158"
"Accuretic",NULL,2022,NULL,NULL,NULL,NULL,"1100000.74","252042","15221.02","3690"
"Accutane",NULL,2021,NULL,NULL,NULL,NULL,"73860.96","20480","21588.69","6010"
"Accutane",NULL,2022,NULL,NULL,NULL,NULL,"73860.96","20480","52272.27","14470"
"Acebutolol HCl",NULL,2018,NULL,NULL,NULL,NULL,"22299181.63","43834379","2081450.61","6052585"
"Acebutolol HCl",NULL,2019,NULL,NULL,NULL,NULL,"22299181.63","43834379","4386157.90","9371270"
"Acebutolol HCl",NULL,2020,NULL,NULL,NULL,NULL,"22299181.63","43834379","5556127.04","9727562"
"Acebutolol HCl",NULL,2021,NULL,NULL,NULL,NULL,"22299181.63","43834379","5108653.31","9595214"
"Acebutolol HCl",NULL,2022,NULL,NULL,NULL,NULL,"22299181.63","43834379","5166792.77","9087748"
"Acetamin-Caff-Dihydrocodeine",NULL,2018,NULL,NULL,NULL,NULL,"2533522.31","942820","507947.64","203714"
"Acetamin-Caff-Dihydrocodeine",NULL,2019,NULL,NULL,NULL,NULL,"2533522.31","942820","581219.08","221226"
"Acetamin-Caff-Dihydrocodeine",NULL,2020,NULL,NULL,NULL,NULL,"2533522.31","942820","562256.15","203536"
"Acetamin-Caff-Dihydrocodeine",NULL,2021,NULL,NULL,NULL,NULL,"2533522.31","942820","554132.58","196648"
"Acetamin-Caff-Dihydrocodeine",NULL,2022,NULL,NULL,NULL,NULL,"2533522.31","942820","327966.86","117696"
"Acetaminophen",NULL,2021,NULL,NULL,NULL,NULL,"95804.29","369501","35876.64","138701"
"Acetaminophen",NULL,2022,NULL,NULL,NULL,NULL,"95804.29","369501","59927.65","230800"
"Acetaminophen-Codeine",NULL,2018,NULL,NULL,NULL,NULL,"190949263.18","767197537","38181534.34","184505081"
"Acetaminophen-Codeine",NULL,2019,NULL,NULL,NULL,NULL,"190949263.18","767197537","35248234.01","162201021"
"Acetaminophen-Codeine",NULL,2020,NULL,NULL,NULL,NULL,"190949263.18","767197537","38098067.57","152159023"
"Acetaminophen-Codeine",NULL,2021,NULL,NULL,NULL,NULL,"190949263.18","767197537","40726751.97","138927282"
"Acetaminophen-Codeine",NULL,2022,NULL,NULL,NULL,NULL,"190949263.18","767197537","38694675.29","129405130"
"Acetazolamide",NULL,2018,NULL,NULL,NULL,NULL,"103773440.58","75537331","25178838.74","14881544"
"Acetazolamide",NULL,2019,NULL,NULL,NULL,NULL,"103773440.58","75537331","24060032.03","15097685"
"Acetazolamide",NULL,2020,NULL,NULL,NULL,NULL,"103773440.58","75537331","22200009.38","14763958"
"Acetazolamide",NULL,2021,NULL,NULL,NULL,NULL,"103773440.58","75537331","16599672.83","15103603"
"Acetazolamide",NULL,2022,NULL,NULL,NULL,NULL,"103773440.58","75537331","15734887.60","15690541"
"Acetazolamide ER",NULL,2018,NULL,NULL,NULL,NULL,"41937108.94","26006191","9373543.55","4699925"
"Acetazolamide ER",NULL,2019,NULL,NULL,NULL,NULL,"41937108.94","26006191","8965308.25","5012496"
"Acetazolamide ER",NULL,2020,NULL,NULL,NULL,NULL,"41937108.94","26006191","8532895.66","5266670"
"Acetazolamide ER",NULL,2021,NULL,NULL,NULL,NULL,"41937108.94","26006191","7358500.80","5449502"
"Acetazolamide ER",NULL,2022,NULL,NULL,NULL,NULL,"41937108.94","26006191","7706860.68","5577598"
"Acetic Acid*",NULL,2018,NULL,NULL,NULL,NULL,"6719448.01","210844715","1505691.50","48935842"
"Acetic Acid*",NULL,2019,NULL,NULL,NULL,NULL,"6719448.01","210844715","1384295.19","49607287"
"Acetic Acid*",NULL,2020,NULL,NULL,NULL,NULL,"6719448.01","210844715","1265933.70","39158450"
"Acetic Acid*",NULL,2021,NULL,NULL,NULL,NULL,"6719448.01","210844715","1249347.72","33090613"
"Acetic Acid*",NULL,2022,NULL,NULL,NULL,NULL,"6719448.01","210844715","1314179.90","40052523"
"Acetylcysteine*",NULL,2018,NULL,NULL,NULL,NULL,"9239843.13","9583218","2092216.58","1994987"
"Acetylcysteine*",NULL,2019,NULL,NULL,NULL,NULL,"9239843.13","9583218","1981662.68","2369608"
"Acetylcysteine*",NULL,2020,NULL,NULL,NULL,NULL,"9239843.13","9583218","1746725.77","1956389"
"Acetylcysteine*",NULL,2021,NULL,NULL,NULL,NULL,"9239843.13","9583218","1595936.67","1611948"
"Acetylcysteine*",NULL,2022,NULL,NULL,NULL,NULL,"9239843.13","9583218","1823301.43","1650286"
"Aciphex",NULL,2018,NULL,NULL,NULL,NULL,"92003516.62","5206432","22178234.16","1299928"
"Aciphex",NULL,2019,NULL,NULL,NULL,NULL,"92003516.62","5206432","19678260.33","1153216"
"Aciphex",NULL,2020,NULL,NULL,NULL,NULL,"92003516.62","5206432","18095334.51","1065105"
"Aciphex",NULL,2021,NULL,NULL,NULL,NULL,"92003516.62","5206432","16176125.30","906690"
"Aciphex",NULL,2022,NULL,NULL,NULL,NULL,"92003516.62","5206432","15875562.32","781493"
"Acitretin",NULL,2018,NULL,NULL,NULL,NULL,"114529482.25","8112961","24971062.75","1497337"
"Acitretin",NULL,2019,NULL,NULL,NULL,NULL,"114529482.25","8112961","23606030.79","1600707"
"Acitretin",NULL,2020,NULL,NULL,NULL,NULL,"114529482.25","8112961","23573809.61","1678164"
"Acitretin",NULL,2021,NULL,NULL,NULL,NULL,"114529482.25","8112961","21444442.22","1678450"
"Acitretin",NULL,2022,NULL,NULL,NULL,NULL,"114529482.25","8112961","20934136.88","1658303"
"Actemra Actpen",NULL,2019,NULL,NULL,NULL,NULL,"292958223.68","238424","17195137.67","14862"
"Actemra Actpen",NULL,2020,NULL,NULL,NULL,NULL,"292958223.68","238424","56276920.52","47068"
"Actemra Actpen",NULL,2021,NULL,NULL,NULL,NULL,"292958223.68","238424","93002648.89","74933"
"Actemra Actpen",NULL,2022,NULL,NULL,NULL,NULL,"292958223.68","238424","126483516.60","101561"
"Actemra*",NULL,2018,NULL,NULL,NULL,NULL,"642719969.80","974710","130523440.20","185716"
"Actemra*",NULL,2019,NULL,NULL,NULL,NULL,"642719969.80","974710","132676233.60","198567"
"Actemra*",NULL,2020,NULL,NULL,NULL,NULL,"642719969.80","974710","127856836.20","191010"
"Actemra*",NULL,2021,NULL,NULL,NULL,NULL,"642719969.80","974710","123904981.20","186777"
"Actemra*",NULL,2022,NULL,NULL,NULL,NULL,"642719969.80","974710","127758478.60","212640"
"Acthar",NULL,2018,NULL,NULL,NULL,NULL,"2846899313.00","344355","724638118.90","90830"
"Acthar",NULL,2019,NULL,NULL,NULL,NULL,"2846899313.00","344355","668892380.30","82995"
"Acthar",NULL,2020,NULL,NULL,NULL,NULL,"2846899313.00","344355","621884161.40","74430"
"Acthar",NULL,2021,NULL,NULL,NULL,NULL,"2846899313.00","344355","431097613.90","50945"
"Acthar",NULL,2022,NULL,NULL,NULL,NULL,"2846899313.00","344355","400387038.50","45155"
"Acthib",NULL,2018,NULL,NULL,NULL,NULL,"226209.27","6241","27574.35","816"
"Acthib",NULL,2019,NULL,NULL,NULL,NULL,"226209.27","6241","44034.23","1129"
"Acthib",NULL,2020,NULL,NULL,NULL,NULL,"226209.27","6241","44405.72","1148"
"Acthib",NULL,2021,NULL,NULL,NULL,NULL,"226209.27","6241","49583.46","1413"
"Acthib",NULL,2022,NULL,NULL,NULL,NULL,"226209.27","6241","60611.51","1735"
"Actimmune",NULL,2018,NULL,NULL,NULL,NULL,"115845639.07","11950","18992801.81","2118"
"Actimmune",NULL,2019,NULL,NULL,NULL,NULL,"115845639.07","11950","20879139.70","2227"
"Actimmune",NULL,2020,NULL,NULL,NULL,NULL,"115845639.07","11950","23353184.89","2547"
"Actimmune",NULL,2021,NULL,NULL,NULL,NULL,"115845639.07","11950","25309639.28","2444"
"Actimmune",NULL,2022,NULL,NULL,NULL,NULL,"115845639.07","11950","27310873.39","2614"
"Activella",NULL,2019,NULL,NULL,NULL,NULL,"536357.03","54880","124105.30","12712"
"Activella",NULL,2020,NULL,NULL,NULL,NULL,"536357.03","54880","135010.77","13692"
"Activella",NULL,2021,NULL,NULL,NULL,NULL,"536357.03","54880","135284.56","13916"
"Activella",NULL,2022,NULL,NULL,NULL,NULL,"536357.03","54880","141956.40","14560"
"Actonel",NULL,2018,NULL,NULL,NULL,NULL,"12185887.26","113456","3671232.33","36899"
"Actonel",NULL,2019,NULL,NULL,NULL,NULL,"12185887.26","113456","2907325.96","27665"
"Actonel",NULL,2020,NULL,NULL,NULL,NULL,"12185887.26","113456","2358868.74","20947"
"Actonel",NULL,2021,NULL,NULL,NULL,NULL,"12185887.26","113456","1788277.96","15477"
"Actonel",NULL,2022,NULL,NULL,NULL,NULL,"12185887.26","113456","1460182.27","12468"
"Actoplus Met",NULL,2018,NULL,NULL,NULL,NULL,"1491960.93","152575","461467.05","47787"
"Actoplus Met",NULL,2019,NULL,NULL,NULL,NULL,"1491960.93","152575","374075.50","38502"
"Actoplus Met",NULL,2020,NULL,NULL,NULL,NULL,"1491960.93","152575","312105.56","32169"
"Actoplus Met",NULL,2021,NULL,NULL,NULL,NULL,"1491960.93","152575","203503.89","20419"
"Actoplus Met",NULL,2022,NULL,NULL,NULL,NULL,"1491960.93","152575","140808.93","13698"
"Actos",NULL,2018,NULL,NULL,NULL,NULL,"10273664.12","586216","2784260.16","159372"
"Actos",NULL,2019,NULL,NULL,NULL,NULL,"10273664.12","586216","2293887.44","132352"
"Actos",NULL,2020,NULL,NULL,NULL,NULL,"10273664.12","586216","2092475.64","120551"
"Actos",NULL,2021,NULL,NULL,NULL,NULL,"10273664.12","586216","1749928.48","98359"
"Actos",NULL,2022,NULL,NULL,NULL,NULL,"10273664.12","586216","1353112.40","75582"
"Acular",NULL,2018,NULL,NULL,NULL,NULL,"368265.63","8926","89458.99","2401"
"Acular",NULL,2019,NULL,NULL,NULL,NULL,"368265.63","8926","73030.12","1865"
"Acular",NULL,2020,NULL,NULL,NULL,NULL,"368265.63","8926","92184.89","2245"
"Acular",NULL,2021,NULL,NULL,NULL,NULL,"368265.63","8926","64615.68","1325"
"Acular",NULL,2022,NULL,NULL,NULL,NULL,"368265.63","8926","48975.95","1090"
"Acular Ls",NULL,2018,NULL,NULL,NULL,NULL,"176407.43","3590","55760.95","1170"
"Acular Ls",NULL,2019,NULL,NULL,NULL,NULL,"176407.43","3590","42093.70","895"
"Acular Ls",NULL,2020,NULL,NULL,NULL,NULL,"176407.43","3590","36788.28","750"
"Acular Ls",NULL,2021,NULL,NULL,NULL,NULL,"176407.43","3590","22762.86","435"
"Acular Ls",NULL,2022,NULL,NULL,NULL,NULL,"176407.43","3590","19001.64","340"
"Acuvail",NULL,2018,NULL,NULL,NULL,NULL,"1225101.72","114542","350759.69","34304"
"Acuvail",NULL,2019,NULL,NULL,NULL,NULL,"1225101.72","114542","292214.13","27503"
"Acuvail",NULL,2020,NULL,NULL,NULL,NULL,"1225101.72","114542","215551.35","20437"
"Acuvail",NULL,2021,NULL,NULL,NULL,NULL,"1225101.72","114542","221208.02","19678"
"Acuvail",NULL,2022,NULL,NULL,NULL,NULL,"1225101.72","114542","145368.53","12620"
"Acyclovir Sodium",NULL,2018,NULL,NULL,NULL,NULL,"285258.96","1433852","77171.15","98256"
"Acyclovir Sodium",NULL,2019,NULL,NULL,NULL,NULL,"285258.96","1433852","62813.01","89429"
"Acyclovir Sodium",NULL,2020,NULL,NULL,NULL,NULL,"285258.96","1433852","53556.56","93774"
"Acyclovir Sodium",NULL,2021,NULL,NULL,NULL,NULL,"285258.96","1433852","36090.15","1081641"
"Acyclovir Sodium",NULL,2022,NULL,NULL,NULL,NULL,"285258.96","1433852","55628.09","70752"
"Acyclovir*",NULL,2018,NULL,NULL,NULL,NULL,"270709737.99","675400777","47901753.84","121554262"
"Acyclovir*",NULL,2019,NULL,NULL,NULL,NULL,"270709737.99","675400777","57692803.04","129872948"
"Acyclovir*",NULL,2020,NULL,NULL,NULL,NULL,"270709737.99","675400777","58462575.08","139164612"
"Acyclovir*",NULL,2021,NULL,NULL,NULL,NULL,"270709737.99","675400777","54648777.95","140048268"
"Acyclovir*",NULL,2022,NULL,NULL,NULL,NULL,"270709737.99","675400777","52003828.08","144760687"
"Aczone",NULL,2020,NULL,NULL,NULL,NULL,"491297.76","42930","136577.25","12060"
"Aczone",NULL,2021,NULL,NULL,NULL,NULL,"491297.76","42930","200149.65","17730"
"Aczone",NULL,2022,NULL,NULL,NULL,NULL,"491297.76","42930","154570.86","13140"
"Adacel Tdap",NULL,2018,NULL,NULL,NULL,NULL,"56657220.18","681886","10979499.30","136138"
"Adacel Tdap",NULL,2019,NULL,NULL,NULL,NULL,"56657220.18","681886","11033494.81","119122"
"Adacel Tdap",NULL,2020,NULL,NULL,NULL,NULL,"56657220.18","681886","10274095.02","125263"
"Adacel Tdap",NULL,2021,NULL,NULL,NULL,NULL,"56657220.18","681886","10684013.34","135947"
"Adacel Tdap",NULL,2022,NULL,NULL,NULL,NULL,"56657220.18","681886","13686117.71","165416"
"Adakveo",NULL,2020,NULL,NULL,NULL,NULL,"17810318.57","69733","5098450.99","20688"
"Adakveo",NULL,2021,NULL,NULL,NULL,NULL,"17810318.57","69733","5852209.87","22770"
"Adakveo",NULL,2022,NULL,NULL,NULL,NULL,"17810318.57","69733","6859657.71","26275"
"Adapalene",NULL,2018,NULL,NULL,NULL,NULL,"11631162.25","2476022","1222080.20","364294"
"Adapalene",NULL,2019,NULL,NULL,NULL,NULL,"11631162.25","2476022","1577582.71","516244"
"Adapalene",NULL,2020,NULL,NULL,NULL,NULL,"11631162.25","2476022","1925448.03","606932"
"Adapalene",NULL,2021,NULL,NULL,NULL,NULL,"11631162.25","2476022","2542994.28","569023"
"Adapalene",NULL,2022,NULL,NULL,NULL,NULL,"11631162.25","2476022","4363057.03","419529"
"Adapalene-Benzoyl Peroxide",NULL,2018,NULL,NULL,NULL,NULL,"845606.75","295395","123672.95","27270"
"Adapalene-Benzoyl Peroxide",NULL,2019,NULL,NULL,NULL,NULL,"845606.75","295395","120228.92","52290"
"Adapalene-Benzoyl Peroxide",NULL,2020,NULL,NULL,NULL,NULL,"845606.75","295395","122451.78","64365"
"Adapalene-Benzoyl Peroxide",NULL,2021,NULL,NULL,NULL,NULL,"845606.75","295395","125163.45","61965"
"Adapalene-Benzoyl Peroxide",NULL,2022,NULL,NULL,NULL,NULL,"845606.75","295395","354089.65","89505"
"Adbry",NULL,2022,NULL,NULL,NULL,NULL,"11498067.07","13138","11498067.07","13138"
"Adcetris",NULL,2020,NULL,NULL,NULL,NULL,"6648280.38","685","1207675.99","140"
"Adcetris",NULL,2021,NULL,NULL,NULL,NULL,"6648280.38","685","2395839.26","250"
"Adcetris",NULL,2022,NULL,NULL,NULL,NULL,"6648280.38","685","3044765.13","295"
"Adcirca",NULL,2018,NULL,NULL,NULL,NULL,"481715408.72","6967358","266213540.10","3897888"
"Adcirca",NULL,2019,NULL,NULL,NULL,NULL,"481715408.72","6967358","82750004.24","1182511"
"Adcirca",NULL,2020,NULL,NULL,NULL,NULL,"481715408.72","6967358","55942543.48","799333"
"Adcirca",NULL,2021,NULL,NULL,NULL,NULL,"481715408.72","6967358","43282513.46","613790"
"Adcirca",NULL,2022,NULL,NULL,NULL,NULL,"481715408.72","6967358","33526807.44","473836"
"Adderall",NULL,2018,NULL,NULL,NULL,NULL,"26817626.27","3481620","3853888.75","607546"
"Adderall",NULL,2019,NULL,NULL,NULL,NULL,"26817626.27","3481620","4750438.52","676194"
"Adderall",NULL,2020,NULL,NULL,NULL,NULL,"26817626.27","3481620","5298565.50","706339"
"Adderall",NULL,2021,NULL,NULL,NULL,NULL,"26817626.27","3481620","5793971.05","710184"
"Adderall",NULL,2022,NULL,NULL,NULL,NULL,"26817626.27","3481620","7120762.45","781357"
"Adderall XR",NULL,2018,NULL,NULL,NULL,NULL,"44180283.39","7955841","8032117.17","1676353"
"Adderall XR",NULL,2019,NULL,NULL,NULL,NULL,"44180283.39","7955841","9206505.22","1875994"
"Adderall XR",NULL,2020,NULL,NULL,NULL,NULL,"44180283.39","7955841","9699463.14","1948540"
"Adderall XR",NULL,2021,NULL,NULL,NULL,NULL,"44180283.39","7955841","8420164.32","1205985"
"Adderall XR",NULL,2022,NULL,NULL,NULL,NULL,"44180283.39","7955841","8822033.54","1248969"
"Adefovir Dipivoxil",NULL,2018,NULL,NULL,NULL,NULL,"21206635.99","781510","5325462.51","189521"
"Adefovir Dipivoxil",NULL,2019,NULL,NULL,NULL,NULL,"21206635.99","781510","4756444.93","170441"
"Adefovir Dipivoxil",NULL,2020,NULL,NULL,NULL,NULL,"21206635.99","781510","4062508.26","154570"
"Adefovir Dipivoxil",NULL,2021,NULL,NULL,NULL,NULL,"21206635.99","781510","3683848.43","139317"
"Adefovir Dipivoxil",NULL,2022,NULL,NULL,NULL,NULL,"21206635.99","781510","3378371.86","127661"
"Adempas",NULL,2018,NULL,NULL,NULL,NULL,"2179671416.50","16841623","256166028.20","2292012"
"Adempas",NULL,2019,NULL,NULL,NULL,NULL,"2179671416.50","16841623","316869356.50","2679851"
"Adempas",NULL,2020,NULL,NULL,NULL,NULL,"2179671416.50","16841623","463152406.40","3661888"
"Adempas",NULL,2021,NULL,NULL,NULL,NULL,"2179671416.50","16841623","566502537.40","4182218"
"Adempas",NULL,2022,NULL,NULL,NULL,NULL,"2179671416.50","16841623","576981088.00","4025654"
"Adlarity",NULL,2022,NULL,NULL,NULL,NULL,"113185.36","954","113185.36","954"
"Adlyxin",NULL,2018,NULL,NULL,NULL,NULL,"353278.36","3237","63298.03","636"
"Adlyxin",NULL,2019,NULL,NULL,NULL,NULL,"353278.36","3237","60595.43","573"
"Adlyxin",NULL,2020,NULL,NULL,NULL,NULL,"353278.36","3237","66455.60","606"
"Adlyxin",NULL,2021,NULL,NULL,NULL,NULL,"353278.36","3237","107206.69","936"
"Adlyxin",NULL,2022,NULL,NULL,NULL,NULL,"353278.36","3237","55722.61","486"
"Admelog",NULL,2018,NULL,NULL,NULL,NULL,"8762054.28","624726","403661.76","17019"
"Admelog",NULL,2019,NULL,NULL,NULL,NULL,"8762054.28","624726","2076727.30","120034"
"Admelog",NULL,2020,NULL,NULL,NULL,NULL,"8762054.28","624726","2461450.03","181351"
"Admelog",NULL,2021,NULL,NULL,NULL,NULL,"8762054.28","624726","2224714.69","161708"
"Admelog",NULL,2022,NULL,NULL,NULL,NULL,"8762054.28","624726","1595500.50","144614"
"Admelog Solostar",NULL,2018,NULL,NULL,NULL,NULL,"23244257.12","2319268","1124957.97","36927"
"Admelog Solostar",NULL,2019,NULL,NULL,NULL,NULL,"23244257.12","2319268","5632924.42","1248402"
